fecha,efectivo,cta_cte,tarjetas,tickets,cheques,otros,total,ventas,prom_vtas,cubt1,cubt2,cubt3,cub,promedio,acumulado
"Vie 04/02/22",118690.00,0.00,87330.00,0.00,0.00,18920.00,224940.00,75,2999.20,0,0,0,0,0.00,7274899.00
"Sab 05/02/22",117260.00,0.00,45980.00,0.00,0.00,35860.00,199100.00,67,2971.64,0,0,0,0,0.00,7473999.00
"Mar 08/02/22",110920.00,0.00,23810.00,0.00,0.00,15262.00,149992.00,50,2999.84,0,0,0,0,0.00,7623991.00
"Mie 09/02/22",69101.00,0.00,31650.00,0.00,0.00,11280.00,112031.00,34,3295.03,0,0,0,0,0.00,7736022.00
"Jue 10/02/22",84750.00,0.00,30980.00,0.00,0.00,8240.00,123970.00,39,3178.72,0,0,0,0,0.00,7859992.00
"Vie 11/02/22",133780.00,0.00,78770.00,0.00,0.00,31790.00,244340.00,75,3257.87,0,0,0,0,0.00,8104332.00
"Sab 12/02/22",142790.00,0.00,34250.00,0.00,0.00,26090.00,203130.00,61,3330.00,0,0,0,0,0.00,8307462.00
"Lun 14/02/22",160320.00,0.00,56340.00,0.00,0.00,46580.00,263240.00,86,3060.93,0,0,0,0,0.00,8570702.00
"Mar 15/02/22",102620.00,0.00,18381.00,0.00,0.00,22861.00,143862.00,46,3127.43,0,0,0,0,0.00,8714564.00
"Mie 16/02/22",78910.00,0.00,21400.00,0.00,0.00,17860.00,118170.00,33,3580.91,0,0,0,0,0.00,8832734.00
"Jue 17/02/22",99170.00,0.00,33360.00,0.00,0.00,23620.00,156150.00,51,3061.76,0,0,0,0,0.00,8988884.00
"Vie 18/02/22",112440.00,0.00,69270.00,0.00,0.00,14410.00,196120.00,59,3324.07,0,0,0,0,0.00,9185004.00
"Sab 19/02/22",109940.00,0.00,50990.00,0.00,0.00,15170.00,176100.00,53,3322.64,0,0,0,0,0.00,9361104.00
"Mar 22/02/22",91816.00,0.00,28242.00,0.00,0.00,16753.00,136811.00,47,2910.87,0,0,0,0,0.00,9497915.00
"Mie 23/02/22",66960.00,0.00,19790.00,0.00,0.00,11980.00,98730.00,30,3291.00,0,0,0,0,0.00,9596645.00
"Jue 24/02/22",83730.00,0.00,47440.00,0.00,0.00,0.00,131170.00,43,3050.47,0,0,0,0,0.00,9727815.00
"Vie 25/02/22",129610.00,0.00,81140.00,0.00,0.00,18830.00,229580.00,71,3233.52,0,0,0,0,0.00,9957395.00
"Sab 26/02/22",134230.00,0.00,47310.00,0.00,0.00,11140.00,192680.00,63,3058.41,0,0,0,0,0.00,10150075.0
"Dom 27/02/22",71360.00,0.00,35710.00,0.00,0.00,16010.00,123080.00,38,3238.95,0,0,0,0,0.00,10273155.0
"Mie 02/03/22",57730.00,0.00,18090.00,0.00,0.00,6490.00,82310.00,29,2838.28,0,0,0,0,0.00,10355465.0
"Jue 03/03/22",63700.00,0.00,56030.00,0.00,0.00,11600.00,131330.00,34,3862.65,0,0,0,0,0.00,10486795.0
"Vie 04/03/22",104720.00,0.00,75950.00,0.00,0.00,11700.00,192370.00,62,3102.74,0,0,0,0,0.00,10679165.0
"Sab 05/03/22",102680.00,0.00,109860.00,0.00,0.00,7620.00,220160.00,63,3494.60,0,0,0,0,0.00,10899325.0
"Mar 08/03/22",81913.00,0.00,55113.00,0.00,0.00,14283.00,151309.00,46,3289.33,0,0,0,0,0.00,11050634.0
"Mie 09/03/22",62690.00,0.00,28990.00,0.00,0.00,8050.00,99730.00,35,2849.43,0,0,0,0,0.00,11150364.0
"Jue 10/03/22",60880.00,0.00,28960.00,0.00,0.00,15480.00,105320.00,35,3009.14,0,0,0,0,0.00,11255684.0
"Vie 11/03/22",109430.00,0.00,97100.00,0.00,0.00,12040.00,218570.00,72,3035.69,0,0,0,0,0.00,11474254.0
"Sab 12/03/22",104890.00,0.00,63310.00,0.00,0.00,9670.00,177870.00,56,3176.25,0,0,0,0,0.00,11652124.0
"Mar 15/03/22",68857.00,0.00,41128.00,0.00,0.00,25616.00,135601.00,44,3081.84,0,0,0,0,0.00,11787725.0
"Mie 16/03/22",68320.00,0.00,31830.00,0.00,0.00,17020.00,117170.00,41,2857.80,0,0,0,0,0.00,11904895.0
"Jue 17/03/22",72200.00,0.00,33500.00,0.00,0.00,14270.00,119970.00,40,2999.25,0,0,0,0,0.00,12024865.0
"Vie 18/03/22",109880.00,0.00,60670.00,0.00,0.00,14520.00,185070.00,61,3033.93,0,0,0,0,0.00,12209935.0
"Sab 19/03/22",113130.00,0.00,45630.00,0.00,0.00,16140.00,174900.00,54,3238.89,0,0,0,0,0.00,12384835.0
"Mar 22/03/22",56771.00,0.00,35279.00,0.00,0.00,8663.00,100713.00,31,3248.81,0,0,0,0,0.00,12485548.0
"Mie 23/03/22",138750.00,0.00,24800.00,0.00,0.00,18520.00,182070.00,56,3251.25,0,0,0,0,0.00,12667618.0
"Jue 24/03/22",82860.00,0.00,28940.00,0.00,0.00,0.00,111800.00,34,3288.24,0,0,0,0,0.00,12779418.0
"Vie 25/03/22",129900.00,0.00,27960.00,0.00,0.00,23650.00,181510.00,60,3025.17,0,0,0,0,0.00,12960928.0
"Sab 26/03/22",140690.00,0.00,58710.00,0.00,0.00,10270.00,209670.00,63,3328.10,0,0,0,0,0.00,13170598.0
"Mar 29/03/22",62198.00,0.00,27392.00,0.00,0.00,41050.00,130640.00,41,3186.34,0,0,0,0,0.00,13301238.0
"Mie 30/03/22",38090.00,0.00,23760.00,0.00,0.00,8690.00,70540.00,24,2939.17,0,0,0,0,0.00,13371778.0
"Jue 31/03/22",68530.00,0.00,12770.00,0.00,0.00,10140.00,91440.00,31,2949.68,0,0,0,0,0.00,13463218.0
"Vie 01/04/22",113650.00,0.00,64460.00,0.00,0.00,39600.00,217710.00,72,3023.75,0,0,0,0,0.00,13680928.0
"Sab 02/04/22",139100.00,0.00,57400.00,0.00,0.00,17670.00,214170.00,67,3196.57,0,0,0,0,0.00,13895098.0
"Mar 05/04/22",42356.00,0.00,29715.00,0.00,0.00,22398.00,94469.00,36,2624.14,0,0,0,0,0.00,13989567.0
"Mie 06/04/22",68550.00,0.00,42010.00,0.00,0.00,20040.00,130600.00,44,2968.18,0,0,0,0,0.00,14120167.0
"Jue 07/04/22",83740.00,0.00,45720.00,0.00,0.00,8760.00,138220.00,42,3290.95,0,0,0,0,0.00,14258387.0
"Vie 08/04/22",130580.00,0.00,74650.00,0.00,0.00,30620.00,235850.00,71,3321.83,0,0,0,0,0.00,14494237.0
"Sab 09/04/22",213267.00,0.00,84287.00,0.00,0.00,45918.00,343472.00,109,3151.12,0,0,0,0,0.00,14837709.0
"Mie 13/04/22",75353.00,0.00,40820.00,0.00,0.00,37970.00,154143.00,48,3211.31,0,0,0,0,0.00,14991852.0
"Jue 14/04/22",107060.00,0.00,54360.00,0.00,0.00,20380.00,181800.00,49,3710.20,0,0,0,0,0.00,15173652.0
"Vie 15/04/22",96670.00,0.00,47370.00,0.00,0.00,21230.00,165270.00,56,2951.25,0,0,0,0,0.00,15338922.0
"Sab 16/04/22",129081.00,0.00,66370.00,0.00,0.00,22320.00,217771.00,69,3156.10,0,0,0,0,0.00,15556693.0
"Vie 22/04/22",95720.00,0.00,70550.00,0.00,0.00,23510.00,189780.00,65,2919.69,0,0,0,0,0.00,15746473.0
"Sab 23/04/22",140400.00,0.00,39440.00,0.00,0.00,35590.00,215430.00,71,3034.23,0,0,0,0,0.00,15961903.0
"Mar 26/04/22",74769.00,0.00,26606.00,0.00,0.00,13688.00,115063.00,37,3109.81,0,0,0,0,0.00,16076966.0
"Mie 27/04/22",58980.00,0.00,28940.00,0.00,0.00,10210.00,98130.00,31,3165.48,0,0,0,0,0.00,16175096.0
"Jue 28/04/22",74440.00,0.00,28020.00,0.00,0.00,13130.00,115590.00,37,3124.05,0,0,0,0,0.00,16290686.0
"Vie 29/04/22",125164.00,0.00,47110.00,0.00,0.00,21940.00,194214.00,58,3348.52,0,0,0,0,0.00,16484900.0
"Sab 30/04/22",132450.00,0.00,53990.00,0.00,0.00,35260.00,221700.00,64,3464.06,0,0,0,0,0.00,16706600.0
