fecha,salon,mostrador,domicilio,otros,total,cub,promedio,ventas,prom_vtas,acumulado
"Mie 23/02/22",0.00,3770.00,94960.00,0.00,98730.00,0,0.00,30,3291.00,98730.00
"Jue 24/02/22",0.00,9950.00,121220.00,0.00,131170.00,0,0.00,43,3050.47,131170.00
"Vie 25/02/22",0.00,20930.00,208650.00,0.00,229580.00,0,0.00,71,3233.52,229580.00
"Sab 26/02/22",0.00,23350.00,169330.00,0.00,192680.00,0,0.00,63,3058.41,192680.00
"Dom 27/02/22",0.00,22210.00,100870.00,0.00,123080.00,0,0.00,38,3238.95,123080.00
"Mie 02/03/22",0.00,15390.00,66920.00,0.00,82310.00,0,0.00,28,2939.64,82310.00
"Jue 03/03/22",0.00,10600.00,120730.00,0.00,131330.00,0,0.00,34,3862.65,131330.00
"Vie 04/03/22",0.00,32470.00,159900.00,0.00,192370.00,0,0.00,61,3153.61,192370.00
"Sab 05/03/22",0.00,46480.00,173680.00,0.00,220160.00,0,0.00,62,3550.97,220160.00
"Mar 08/03/22",0.00,13893.00,137416.00,0.00,151309.00,0,0.00,46,3289.33,151309.00
"Mie 09/03/22",0.00,16600.00,83130.00,0.00,99730.00,0,0.00,35,2849.43,99730.00
"Jue 10/03/22",0.00,12170.00,93150.00,0.00,105320.00,0,0.00,35,3009.14,105320.00
"Vie 11/03/22",0.00,53120.00,165450.00,0.00,218570.00,0,0.00,72,3035.69,218570.00
"Sab 12/03/22",0.00,31210.00,146660.00,0.00,177870.00,0,0.00,55,3234.00,177870.00
"Mar 15/03/22",0.00,5679.00,129922.00,0.00,135601.00,0,0.00,44,3081.84,135601.00
"Mie 16/03/22",0.00,10600.00,106570.00,0.00,117170.00,0,0.00,41,2857.80,117170.00
"Jue 17/03/22",0.00,11470.00,108500.00,0.00,119970.00,0,0.00,40,2999.25,119970.00
"Vie 18/03/22",0.00,17280.00,167790.00,0.00,185070.00,0,0.00,61,3033.93,185070.00
"Sab 19/03/22",0.00,10180.00,164720.00,0.00,174900.00,0,0.00,54,3238.89,174900.00
"Mar 22/03/22",0.00,2760.00,97953.00,0.00,100713.00,0,0.00,31,3248.81,100713.00
